,asignatura,nombre_asignatura,prelacion,prelacion_sugerida,prelacion_credito,prelacion_credito_bp,condicion_credito,siguiente_asignatura
614,FPTSP25,COMPUTACION EMERGENTE,FPTSP19,,,57,OR,
655,FPTSP18,SEGURIDAD DE LA INFORMACIÖN,FPTEN23,,,,,
952,FPTSP19,OPTIMIZACION II,FPTSP17,,,,,
955,FPTSP07,INGENIERIA DE SOFTWARE,FPTSP01 FPTSP04,,,,,
1551,BPTSP03,ORGANIZACION DEL COMPUTADOR,BPTEN12,,,,,
406,FBPLI01,LENGUA Y LENGUAJE,,,,,,FBPLI02 FBTHU01
408,FBPCE03,ESTRATEGIAS INSTRUMENTALES,,,,,,FBPCE04 FBTCE03
409,FBPMM01,ELEMENTOS DE MATEMATICA 1,,,,,,FBPMM02 FBTMM00
622,FPTSP22,TALLER DE TRABAJO DE GRADO - INGENIERÍA,,,120,57,OR,
718,FPTIS01,DEFENSA TRABAJO DE GRADO-ING.SISTEMAS,FPTSP22,,,57,OR,
795,FPTSP23,SISTEMAS DE APOYO,FPTSP07 FPTSP19,,,57,OR,
797,FPTPI09,GESTIÓN DE LA CADENA DE SUMINISTRO I,FPTSP17,,,57,OR,
804,FPTSP14,PROYECTOS DE INGENIERIA,,,150,57,OR,
951,BPTDI01-2,SERVICIO COMUNITARIO (CONT),BPTDI01-1,,,,,
993,FPTSP21,MODELAC. DE SISTEMAS EN REDES,FPTSP19,,,57,OR,
1028,BPTMI20,ESTADISTICA PARA INGENIEROS,BPTMI03,,,,,
1045,FPTCS16,INGENIERÍA AMBIENTAL,,,150,57,OR,
1114,FPTEN23,SISTEMAS DE REDES,BPTFI02,,,,,
1115,FPTSP04,SISTEMAS DE INFORMACION,BPTSP06,,,,,
1118,FPTSP02,ADMINISTRACION DE BASES DE DATOS,FPTSP01 BPTSP04,,,,,
1270,FPTSP15,INGENIERIA ECONOMICA,,,150,57,,
1290,BPTMI11,ECUACIONES DIFERENCIALES,BPTMI04,,,,,
1432,FGS0000,SELECCION,,,,,,
1459,BPTFI02,FISICA II,BPTFI01 BPTMI02,,,,,
1531,BPTMI03,MATEMATICAS III,BPTMI02,,,,,
1535,BPTSP05,ALGORITMOS Y PROGRAMACION,BPTMI01,,,,,
1540,BPTSP04,SISTEMAS OPERATIVOS,BPTSP03,,,,,
1544,FPTSP01,BASES DE DATOS,BPTSP06,,,,,
1550,BPTMI04,MATEMATICAS IV,BPTMI03,,,,,
1554,FPTSP20,SIMULACIÓN,BPTMI20,,,57,OR,
1557,FBTIE01,INICIATIVA EMPRENDEDORA,FBTIE03,,93,,AND,
1575,BPTDI01-1,SERVICIO COMUNITARIO (INICIAL),,,,,,
1576,FPTSP17,OPTIMIZACION I,BPTMI11,,,,,
1577,FPTMI21,MODELOS ESTOCASTICOS,BPTMI20,,,57,OR,
1579,FPTSP11,GERENCIA DE PROYECTOS TIC,FPTSP04,,,57,OR,
1580,BPTFI03,FISICA III,BPTFI02,,,,,
1581,BPTMI31,ALGEBRA LINEAL,BPTMI30 FBTMI03,,,,,
1585,BPTFI01,FISICA I,BPTMI01 FBTSP03,,,,,
1586,BPTSP06,ESTRUCTURAS DE DATOS,BPTSP05,BPTMI30,,,,
1589,BPTMI30,MATEMATICAS DISCRETAS,BPTMI01,,,,,
1591,FBTSP03,INTRODUCCION A LA INGENIERIA,FBTCE04,,,,,
1593,BPTMI05,MATEMATICAS V,BPTMI04,,,,,
1594,BPTEN12,ARQUITECTURA DEL COMPUTADOR,BPTSP05,,,,,
1603,FBTIN05,INGLES V,FBTIN04,,,,,
1691,FBPIN02,INGLES II,FBPIN01,,,,,
1718,FBTCE03,TECNOLOGIAS PARA EL APRENDIZAJE,,,,,,
1734,FBPCE04,INSTRUMENTACION Y APRENDIZAJE,,,,,,FBTCE03
1735,FBPIN01,INGLES I,,,,,,
1767,FBTIN04,INGLES IV,FBPIN03,,,,,
1769,FBTIE02,COMPETENCIAS EN ACCION,,,,,,
1773,FBTHU02,COMPRENSION DE VENEZUELA,FBTHU01,,,,,
1774,FBTIE03,APRENDIENDO A EMPRENDER,FBTIE02,,,,,
1,BPTFI04,LABORATORIO DE FISICA,BPTFI03,,,,,
2,FBPIN03,INGLES III,FBPIN02,,,,,
7,BPTMI02,MATEMATICAS II,BPTMI01,,,,,
9,BPTPI07,DISEñO ASISTIDO POR COMPUTADOR,FBTMM01,,,,,
10,BPTQI21,QUIMICA GENERAL I,FBTMM01,,,,,
11,BPTMI01,MATEMATICAS I,FBTMM01,,,,,
13,FBTMM00,MATEMATICA GENERAL,,,,,,
14,FBTCE04,TECNICAS DE GESTION DE LA INFORMACION,FBTCE03,,,,,
16,BPTQI22,LABORATORIO QUIMICA GENERAL I,BPTQI21,,,,,
19,FBTMM01,MATEMATICA BASICA,FBTMM00,,,,,
22,FBPLI02,LECTURA Y APRENDIZAJE,,,,,,FBTHU01
23,FGE0000,ELECTIVA,,,,,,
24,FBTHU01,LENGUAJE Y UNIVERSALIDAD,,,,,,
25,FBPMM02,ELEMENTOS DE MATEMATICA 2,,,,,,FBTMM00
