,iaa,iaa_ant,trimestre,estudiante,BPTEN12_down,BPTEN12_up,BPTFI01_down,BPTFI01_up,BPTFI02_down,BPTFI02_up,BPTFI03_down,BPTFI03_up,BPTFI04_down,BPTFI04_up,BPTMI01_down,BPTMI01_up,BPTMI02_down,BPTMI02_up,BPTMI03_down,BPTMI03_up,BPTMI04_down,BPTMI04_up,BPTMI05_down,BPTMI05_up,BPTMI11_down,BPTMI11_up,BPTMI20_down,BPTMI20_up,BPTMI30_down,BPTMI30_up,BPTMI31_down,BPTMI31_up,BPTPI07_down,BPTPI07_up,BPTQI21_down,BPTQI21_up,BPTQI22_down,BPTQI22_up,BPTSP03_down,BPTSP03_up,BPTSP04_down,BPTSP04_up,BPTSP05_down,BPTSP05_up,BPTSP06_down,BPTSP06_up,FBPCE03_down,FBPCE03_up,FBPCE04_down,FBPCE04_up,FBPIN01_down,FBPIN01_up,FBPIN02_down,FBPIN02_up,FBPIN03_down,FBPIN03_up,FBPLI01_down,FBPLI01_up,FBPLI02_down,FBPLI02_up,FBPMM01_down,FBPMM01_up,FBPMM02_down,FBPMM02_up,FBTCE03_down,FBTCE03_up,FBTCE04_down,FBTCE04_up,FBTHU01_down,FBTHU01_up,FBTHU02_down,FBTHU02_up,FBTIE01_down,FBTIE01_up,FBTIE02_down,FBTIE02_up,FBTIE03_down,FBTIE03_up,FBTIN04_down,FBTIN04_up,FBTIN05_down,FBTIN05_up,FBTMM00_down,FBTMM00_up,FBTMM01_down,FBTMM01_up,FBTSP03_down,FBTSP03_up,FGE0000_down,FGE0000_up,FGS0000_down,FGS0000_up,FPTCS16_down,FPTCS16_up,FPTEN23_down,FPTEN23_up,FPTMI21_down,FPTMI21_up,FPTPI09_down,FPTPI09_up,FPTSP01_down,FPTSP01_up,FPTSP02_down,FPTSP02_up,FPTSP04_down,FPTSP04_up,FPTSP07_down,FPTSP07_up,FPTSP11_down,FPTSP11_up,FPTSP14_down,FPTSP14_up,FPTSP15_down,FPTSP15_up,FPTSP17_down,FPTSP17_up,FPTSP18_down,FPTSP18_up,FPTSP19_down,FPTSP19_up,FPTSP20_down,FPTSP20_up,FPTSP21_down,FPTSP21_up,FPTSP23_down,FPTSP23_up,FPTSP25_down,FPTSP25_up
0,12.5,0.0,1011-1,10024705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12.8,0.0,1011-1,10026960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15.0,0.0,1011-1,10054222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11.6,0.0,1011-1,10054248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13.0,0.0,1011-1,10054466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.33,0.0,1011-1,10054582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15.83,0.0,1011-1,10055066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15.0,0.0,1011-1,10055106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15.2,0.0,1011-1,10058796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15.2,0.0,1011-1,10059366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
